tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,damage
21,imitate,46.239,-0.045918,8.637,-0.016136,0.600000,0.000000,0.024336,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.038281,0.013945,0.069727,0.850781,6,40.000,49.407,240.000,240.000,255.000,0.000000,4.044636,-0.085578,2.500
22,imitate,53.580,-0.053506,29.927,-0.053155,0.000000,0.358027,0.044141,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.068750,0.024609,0.051953,0.840625,6,40.000,49.517,240.000,240.000,255.000,0.000000,5.053727,-0.080650,2.500
23,imitate,46.085,-0.076475,32.362,-0.059068,0.600000,0.000000,-0.001836,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,-0.001563,0.000273,-0.001367,0.863802,6,40.000,50.000,240.000,240.000,255.000,0.000000,4.720002,-0.094754,2.500
24,imitate,53.408,-0.029381,43.548,-0.078560,0.000000,0.340828,-0.001836,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,-0.001563,0.000273,-0.001367,0.863802,6,40.000,50.000,240.000,240.000,255.000,0.000000,5.131263,-0.020864,2.500
25,imitate,46.342,-0.015618,18.125,-0.033469,0.600000,0.000000,-0.001836,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,-0.001563,0.000273,-0.001367,0.863802,6,40.000,50.000,240.000,240.000,242.000,0.000000,4.652929,-0.024509,2.500
26,imitate,53.440,-0.050706,10.988,-0.019062,0.000000,0.343979,-0.001836,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,-0.001563,0.000273,-0.001367,0.863802,6,40.000,50.000,240.000,240.000,255.000,0.000000,5.329213,-0.077990,2.500
27,imitate,46.686,-0.055237,30.619,-0.055424,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,40.000,50.000,240.000,240.000,255.000,0.000000,4.852368,-0.067726,2.500
28,imitate,53.670,-0.091938,31.033,-0.055783,0.000000,0.366982,-0.295859,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,-0.453906,-0.158047,-0.038281,0.588542,6,40.000,47.170,240.000,240.000,255.000,0.000000,4.933578,-0.049205,2.500
29,imitate,46.073,-0.162602,52.028,-0.093688,0.600000,0.000000,-0.269961,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.042969,-0.392188,-0.122227,0.020508,0.659375,6,40.000,48.187,240.000,240.000,216.000,0.000000,4.729890,-0.136912,2.500
30,imitate,53.459,-0.128294,85.308,-0.153332,0.000000,0.345938,-0.323203,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.121094,-0.432031,-0.108828,0.161328,0.564844,6,40.000,43.175,240.000,240.000,255.000,0.000000,5.342160,-0.056984,2.500
