tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,damage
238,sensor,17.645,0.010454,111.813,-0.219241,0.000000,0.000000,0.049570,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.175000,-0.017969,-0.192969,0.266602,0.565885,6,18.000,18.000,240.000,240.000,255.000,0.000000,0.937735,0.000
239,sensor,17.140,0.095616,59.214,-0.106362,0.000000,0.000000,0.053516,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.180469,-0.014844,-0.195312,0.267969,0.563281,6,18.000,18.000,240.000,240.000,255.000,0.000000,1.202863,0.000
240,sensor,16.894,-0.061576,4.083,0.001668,0.600000,0.000000,0.121055,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.363281,-0.009375,-0.372656,-0.028711,0.615885,6,20.089,20.089,240.000,240.000,255.000,0.000000,1.495389,0.000
241,sensor,17.768,0.054714,20.049,-0.043159,0.000000,0.000000,0.057734,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.196875,-0.017188,-0.214062,0.254297,0.552865,6,18.000,18.000,240.000,240.000,255.000,0.000000,1.221835,0.000
242,sensor,17.503,0.095416,-8.954,0.021452,0.000000,0.000000,0.057734,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.196875,-0.017188,-0.214062,0.254297,0.552865,6,18.000,18.000,240.000,240.000,255.000,0.000000,0.971514,0.000
243,sensor,17.246,0.126316,-29.313,0.061032,0.000000,0.000000,0.053555,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.182031,-0.015625,-0.197656,0.272070,0.558333,6,18.000,18.000,240.000,240.000,255.000,0.000000,1.670050,0.000
244,sensor,16.991,0.137171,-48.263,0.098023,0.000000,0.000000,0.054922,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.185938,-0.015625,-0.201563,0.273438,0.557552,6,18.000,18.000,240.000,240.000,255.000,0.000000,1.175304,0.000
245,sensor,16.792,-0.069499,-65.256,0.131219,0.000000,0.000000,0.116797,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.365625,-0.017188,-0.382812,-0.043750,0.612240,6,18.709,18.709,240.000,240.000,255.000,0.000000,1.335449,0.000
246,sensor,16.732,-0.141834,-19.055,0.027761,0.000000,0.000000,0.116797,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.365625,-0.017188,-0.382812,-0.043750,0.612240,6,18.709,18.709,240.000,240.000,255.000,0.000000,0.657364,0.000
247,sensor,16.241,-0.166682,17.247,-0.038518,0.600000,0.000000,0.113594,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.359375,-0.018750,-0.378125,-0.041016,0.615365,6,19.176,19.176,240.000,240.000,255.000,0.000000,0.601340,0.000
248,sensor,16.879,-0.142345,40.313,-0.083143,0.600000,0.000000,0.120391,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.357031,-0.007031,-0.364063,-0.019141,0.622135,6,21.228,21.228,240.000,240.000,255.000,0.000000,1.436051,0.000
