tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,damage
1,imitate,0.026,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.863542,6,80.000,100.000,240.000,240.000,107.000,0.000000,0.611551,0.000000,2.514
2,imitate,19.405,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,80.000,100.000,240.000,240.000,107.000,0.000000,5.087351,0.000000,2.514
3,imitate,27.076,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,80.000,100.000,240.000,240.000,114.700,0.000000,4.956532,0.000000,2.514
4,imitate,33.182,0.000000,0.000,0.000000,0.600000,0.000000,-0.001836,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,-0.001563,0.000273,-0.001367,0.864323,6,80.000,99.999,240.000,240.000,102.000,0.000000,5.338912,0.000000,2.514
5,imitate,38.073,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864583,6,80.000,100.000,240.000,240.000,255.000,0.000000,4.632138,0.000000,2.514
6,imitate,41.407,0.000000,7.991,-0.018590,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,80.000,100.000,240.000,240.000,255.000,0.000000,2.357506,0.000000,2.514
7,imitate,42.896,0.000000,18.824,-0.031474,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,80.000,100.000,240.000,240.000,255.000,0.000000,0.712563,0.000000,2.514
8,imitate,39.547,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.863542,6,80.000,100.000,240.000,240.000,255.000,0.000000,0.436879,0.000000,2.514
9,imitate,34.836,0.000000,0.000,0.000000,0.600000,0.000000,0.029922,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.046875,0.016953,0.084766,0.847917,6,80.000,98.254,240.000,240.000,255.000,0.000000,0.994015,0.000000,2.514
10,imitate,37.795,0.000000,0.000,0.000000,0.000000,1.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,1.000000,6,80.000,100.000,240.000,240.000,114.000,0.000000,5.488859,0.000000,458.299
