tick,time_s,speed_kph,target_speed_kph,steering,steering_wheel_deg,throttle,brake,parking,slip_deg,target_slip_deg,lateral_error_m,damage,laps
1,0.080,0.444,32.400,0.0632,0.000,0.9000,0.0000,0.0000,0.000,-2.250,-0.086,0.000,0
2,0.146,0.319,32.400,0.0943,12.503,0.9000,0.0000,0.0000,0.000,-2.250,-0.086,0.000,0
4,0.213,0.961,32.400,0.1111,25.730,0.9000,0.0000,0.0000,0.000,-2.250,-0.087,0.000,0
5,0.284,9.975,32.400,0.1201,37.956,0.8599,0.0000,0.0000,0.000,-2.250,-0.089,0.000,0
7,0.356,11.022,32.400,0.1246,49.180,0.8432,0.0000,0.0000,0.000,-2.250,-0.090,0.000,0
8,0.428,11.959,32.400,0.1271,56.068,0.8282,0.0000,0.0000,0.000,-2.250,-0.090,0.000,0
10,0.506,12.875,32.400,0.1277,57.191,0.8135,0.0000,0.0000,0.000,-2.250,-0.091,0.000,0
11,0.579,14.294,32.400,0.1386,57.465,0.5719,0.0000,0.0000,4.105,-2.250,-0.095,0.000,0
12,0.650,15.103,32.400,0.1404,62.378,0.5996,0.0000,0.0000,3.342,-2.250,-0.098,0.000,0
14,0.713,16.901,32.400,0.1409,63.169,0.5400,0.0000,0.0000,3.920,-2.250,-0.102,0.000,0
15,0.778,18.249,32.400,0.1393,63.416,0.4976,0.0000,0.0000,4.311,-2.250,-0.107,0.000,0
16,0.841,20.504,32.400,0.1356,62.693,0.4573,0.0000,0.0000,4.390,-2.250,-0.114,0.000,0
18,0.904,21.826,32.400,0.1290,61.032,0.4703,0.0000,0.0000,3.749,-2.250,-0.120,0.000,0
19,0.964,23.236,32.400,0.1214,58.071,0.4665,0.0000,0.0000,3.398,-2.250,-0.126,0.000,0
20,1.028,24.243,32.400,0.1119,54.615,0.4791,0.0000,0.0000,2.859,-2.250,-0.134,0.000,0
21,1.095,25.362,32.400,0.1005,50.348,0.4970,0.0000,0.0000,2.189,-2.250,-0.142,0.000,0
23,1.160,27.021,32.400,0.0896,45.243,0.5237,0.0000,0.0000,1.190,-2.250,-0.176,0.000,0
24,1.237,28.297,32.400,0.0817,40.319,0.4749,0.0000,0.0000,1.722,-2.250,-0.187,0.000,0
26,1.313,29.508,32.400,0.0720,36.778,0.4872,0.0000,0.0000,1.128,-2.250,-0.196,0.000,0
27,1.387,30.764,32.400,0.0636,32.411,0.4560,0.0000,0.0000,1.336,-2.250,-0.205,0.000,0
29,1.465,31.689,32.400,0.0535,28.603,0.4687,0.0000,0.0000,0.821,-2.250,-0.215,0.000,0
30,1.538,32.826,32.400,0.0442,24.093,0.4529,0.0000,0.0000,0.777,-2.250,-0.226,0.000,0
32,1.612,34.062,32.400,0.0362,19.907,0.4220,0.0000,0.0000,0.985,-2.250,-0.238,0.000,0
33,1.684,34.605,32.400,0.0272,16.279,0.4324,0.0000,0.0000,0.627,-2.250,-0.250,0.000,0
35,1.756,35.121,32.400,0.0189,12.260,0.4248,0.0000,0.0000,0.614,-2.250,-0.263,0.000,0
36,1.826,35.836,32.400,0.0105,8.509,0.4296,0.0000,0.0000,0.310,-2.250,-0.275,0.000,0
37,1.889,37.197,32.400,0.0022,4.712,0.4206,0.0000,0.0000,-0.070,-2.250,-0.288,0.000,0
39,1.955,37.281,32.400,-0.0098,0.988,0.4102,0.0000,0.0000,-0.225,-2.057,-0.335,0.000,0
40,2.022,37.581,32.400,-0.0191,-4.401,0.3855,0.0000,0.0000,-0.598,-2.057,-0.348,0.000,0
41,2.089,38.364,32.400,-0.0261,-8.611,0.3614,0.0000,0.0000,-0.814,-2.057,-0.360,0.000,0
43,2.157,38.046,32.400,-0.0303,-11.746,0.3655,0.0000,0.0000,-0.832,-2.057,-0.373,0.000,0
44,2.222,38.571,32.400,-0.0319,-13.636,0.3598,0.0000,0.0000,-0.781,-2.057,-0.385,0.000,0
45,2.289,38.640,32.400,-0.0320,-14.355,0.3508,0.0000,0.0000,-0.930,-2.057,-0.398,0.000,0
47,2.363,39.221,32.400,-0.0302,-14.387,0.3377,0.0000,0.0000,-1.001,-2.057,-0.410,0.000,0
48,2.437,39.050,32.400,-0.1196,-13.720,0.3664,0.0000,0.0000,-0.541,2.355,-0.496,0.000,0
50,2.510,39.666,32.400,-0.1617,-27.584,0.3470,0.0000,0.0000,-0.718,2.355,-0.508,0.000,0
51,2.588,39.729,32.400,-0.1805,-43.798,0.2991,0.0000,0.0000,-1.597,2.355,-0.516,0.000,0
53,2.659,39.554,32.400,-0.1815,-59.544,0.2820,0.0000,0.0000,-1.971,2.355,-0.516,0.000,0
54,2.719,38.729,32.400,-0.1687,-72.936,0.2784,0.0000,0.0000,-2.285,2.355,-0.508,0.000,0
55,2.786,39.271,32.400,-0.1546,-77.574,0.2714,0.0000,0.0000,-2.292,2.796,-0.571,0.000,0
56,2.849,38.679,32.400,-0.1224,-70.913,0.3163,0.0000,0.0000,-1.628,2.796,-0.547,0.000,0
58,2.911,38.326,32.400,-0.0780,-55.152,0.3611,0.0000,0.0000,-0.893,2.796,-0.517,0.000,0
59,2.974,38.682,32.400,-0.0251,-33.551,0.3796,0.0000,0.0000,0.440,2.796,-0.484,0.000,0
60,3.039,38.901,32.400,0.0309,-9.399,0.3007,0.0000,0.0000,1.854,2.796,-0.450,0.000,0
62,3.102,38.776,32.400,0.0852,14.015,0.2196,0.0000,0.0000,3.410,2.796,-0.415,0.000,0
63,3.166,38.188,32.400,0.1205,30.250,0.2059,0.0000,0.0000,4.187,3.236,-0.459,0.000,0
64,3.230,37.179,32.400,0.1492,45.872,0.2246,0.0000,0.0000,4.136,3.236,-0.423,0.000,0
66,3.301,36.743,32.400,0.1705,60.464,0.2019,0.0000,0.0000,4.735,3.236,-0.384,0.000,0
67,3.384,36.176,32.400,0.1775,73.335,0.2279,0.0000,0.0000,4.392,3.236,-0.341,0.000,0
69,3.468,36.104,32.400,0.1541,83.213,0.2930,0.0000,0.0000,3.566,3.676,-0.370,0.000,0
71,3.551,36.853,32.400,0.1175,79.114,0.3076,0.0000,0.0000,2.955,3.676,-0.325,0.000,0
72,3.649,38.130,32.400,0.0690,59.820,0.3231,0.0000,0.0000,2.129,3.676,-0.288,0.000,0
74,3.744,38.951,32.400,0.0132,33.724,0.3562,0.0000,0.0000,1.067,3.676,-0.256,0.000,0
76,3.827,39.953,32.400,-0.0448,4.840,0.3822,0.0000,0.0000,0.135,3.921,-0.271,0.000,0
78,3.920,40.621,32.400,-0.0856,-14.982,0.1000,0.0066,0.0000,-0.562,3.921,-0.243,0.000,0
79,3.990,39.812,32.400,-0.1051,-30.402,0.3540,0.0000,0.0000,-0.880,3.921,-0.213,0.000,0
81,4.065,41.563,32.400,-0.1068,-43.450,0.1000,0.0349,0.0000,-1.256,3.947,-0.181,0.000,0
82,4.140,40.430,32.400,-0.0920,-52.012,0.1000,0.0009,0.0000,-1.422,3.947,-0.132,0.000,0
84,4.214,40.697,32.400,-0.0649,-45.338,0.1000,0.0089,0.0000,-1.449,3.947,-0.069,0.000,0
85,4.290,40.347,32.400,-0.0401,-31.975,0.3422,0.0000,0.0000,-0.969,3.947,0.234,0.000,0
87,4.364,42.534,32.400,-0.0115,-19.380,0.1000,0.0640,0.0000,-0.657,3.947,0.303,0.000,0
88,4.436,41.296,32.400,0.0161,-5.137,0.1000,0.0269,0.0000,-0.120,3.947,0.375,0.000,0
90,4.507,40.800,32.400,0.0106,8.535,0.1000,0.0120,0.0000,0.220,4.132,0.879,0.000,0
91,4.579,40.798,32.400,0.0088,6.330,0.1000,0.0119,0.0000,0.276,4.132,0.927,0.000,0
93,4.652,40.843,32.400,0.0058,4.543,0.1000,0.0133,0.0000,0.106,4.132,0.974,0.000,0
