tick,time_s,speed_kph,target_speed_kph,steering,steering_wheel_deg,throttle,brake,parking,slip_deg,target_slip_deg,lateral_error_m,damage,laps
1,0.072,0.434,32.400,0.0619,0.000,0.9000,0.0000,0.0000,0.000,-2.250,-0.130,0.000,0
2,0.143,0.294,32.400,0.0927,12.728,0.9000,0.0000,0.0000,0.000,-2.250,-0.130,0.000,0
4,0.208,1.027,32.400,0.1092,25.941,0.9000,0.0000,0.0000,0.000,-2.250,-0.131,0.000,0
5,0.294,9.808,32.400,0.1177,38.301,0.8626,0.0000,0.0000,0.000,-2.250,-0.133,0.000,0
7,0.365,9.928,32.400,0.1220,49.770,0.8607,0.0000,0.0000,0.000,-2.250,-0.134,0.000,0
8,0.432,12.271,32.400,0.1240,54.886,0.8232,0.0000,0.0000,0.000,-2.250,-0.135,0.000,0
9,0.497,13.440,32.400,0.1383,55.822,0.5645,0.0000,0.0000,4.666,-2.250,-0.136,0.000,0
11,0.565,14.369,32.400,0.1466,62.241,0.5496,0.0000,0.0000,5.635,-2.250,-0.139,0.000,0
12,0.628,15.393,32.400,0.1454,65.966,0.5454,0.0000,0.0000,4.272,-2.250,-0.142,0.000,0
13,0.692,16.985,32.400,0.1417,65.426,0.5360,0.0000,0.0000,3.971,-2.250,-0.147,0.000,0
15,0.759,18.357,32.400,0.1375,63.761,0.5003,0.0000,0.0000,4.229,-2.250,-0.152,0.000,0
16,0.828,20.531,32.400,0.1326,61.870,0.4576,0.0000,0.0000,4.376,-2.250,-0.158,0.000,0
17,0.896,22.134,32.400,0.1252,59.667,0.4663,0.0000,0.0000,3.732,-2.250,-0.165,0.000,0
19,0.962,23.467,32.400,0.1174,56.356,0.4605,0.0000,0.0000,3.442,-2.250,-0.171,0.000,0
20,1.025,24.538,32.400,0.1093,52.828,0.4471,0.0000,0.0000,3.371,-2.250,-0.179,0.000,0
21,1.091,25.818,32.400,0.0968,49.185,0.5015,0.0000,0.0000,1.967,-2.250,-0.187,0.000,0
23,1.154,26.713,32.400,0.0874,43.551,0.5052,0.0000,0.0000,1.629,-2.250,-0.221,0.000,0
24,1.216,28.372,32.400,0.0789,39.335,0.4795,0.0000,0.0000,1.613,-2.250,-0.232,0.000,0
25,1.288,29.263,32.400,0.0690,35.513,0.5000,0.0000,0.0000,0.962,-2.250,-0.240,0.000,0
27,1.352,30.805,32.400,0.0593,31.070,0.4928,0.0000,0.0000,0.634,-2.250,-0.249,0.000,0
28,1.417,31.475,32.400,0.0527,26.679,0.4513,0.0000,0.0000,1.211,-2.250,-0.257,0.000,0
29,1.483,32.905,32.400,0.0443,23.729,0.4573,0.0000,0.0000,0.670,-2.250,-0.267,0.000,0
30,1.547,33.568,32.400,0.0369,19.957,0.4429,0.0000,0.0000,0.742,-2.250,-0.277,0.000,0
32,1.611,34.207,32.400,0.0298,16.612,0.4362,0.0000,0.0000,0.676,-2.250,-0.287,0.000,0
33,1.677,35.056,32.400,0.0220,13.390,0.4421,0.0000,0.0000,0.310,-2.250,-0.298,0.000,0
34,1.746,35.718,32.400,0.0148,9.904,0.4370,0.0000,0.0000,0.206,-2.250,-0.309,0.000,0
36,1.820,36.522,32.400,0.0074,6.663,0.4306,0.0000,0.0000,-0.084,-2.250,-0.321,0.000,0
37,1.889,37.124,32.400,0.0010,3.339,0.4175,0.0000,0.0000,-0.151,-2.250,-0.333,0.000,0
39,1.978,38.076,32.400,-0.0088,0.439,0.3988,0.0000,0.0000,-0.200,-2.057,-0.345,0.000,0
40,2.048,38.512,32.400,-0.0165,-3.943,0.3773,0.0000,0.0000,-0.471,-2.057,-0.359,0.000,0
42,2.116,38.390,32.400,-0.0220,-7.414,0.3722,0.0000,0.0000,-0.603,-2.057,-0.372,0.000,0
43,2.182,38.776,32.400,-0.0254,-9.892,0.3604,0.0000,0.0000,-0.710,-2.057,-0.385,0.000,0
44,2.248,39.486,32.400,-0.0268,-11.414,0.3453,0.0000,0.0000,-0.781,-2.057,-0.397,0.000,0
46,2.318,38.932,32.400,-0.0258,-12.058,0.3637,0.0000,0.0000,-0.600,-2.057,-0.410,0.000,0
47,2.384,38.839,32.400,-0.1160,-11.628,0.3688,0.0000,0.0000,-0.558,2.355,-0.422,0.000,0
49,2.452,39.758,32.400,-0.1601,-24.963,0.3320,0.0000,0.0000,-0.971,2.355,-0.434,0.000,0
50,2.518,39.796,32.400,-0.1790,-40.503,0.3204,0.0000,0.0000,-1.178,2.355,-0.443,0.000,0
51,2.587,39.473,32.400,-0.1833,-55.530,0.2865,0.0000,0.0000,-1.911,2.355,-0.445,0.000,0
53,2.652,39.102,32.400,-0.1749,-69.012,0.2720,0.0000,0.0000,-2.295,2.355,-0.440,0.000,0
54,2.716,39.034,32.400,-0.1540,-80.279,0.2750,0.0000,0.0000,-2.258,2.355,-0.427,0.000,0
55,2.787,38.797,32.400,-0.1292,-70.872,0.3165,0.0000,0.0000,-1.589,2.796,-0.406,0.000,0
57,2.859,38.791,32.400,-0.0888,-58.732,0.3492,0.0000,0.0000,-0.977,2.796,-0.377,0.000,0
58,2.929,38.825,32.400,-0.0379,-38.384,0.3975,0.0000,0.0000,-0.061,2.796,-0.345,0.000,0
60,3.001,39.548,32.400,0.0200,-13.573,0.2951,0.0000,0.0000,1.764,2.796,-0.309,0.000,0
61,3.068,38.969,32.400,0.0767,11.753,0.2310,0.0000,0.0000,3.140,2.796,-0.273,0.000,0
62,3.139,38.658,32.400,0.1155,28.487,0.2163,0.0000,0.0000,3.824,3.236,-0.239,0.000,0
64,3.205,37.677,32.400,0.1500,45.051,0.1838,0.0000,0.0000,4.799,3.236,-0.203,0.000,0
65,3.273,36.624,32.400,0.1722,60.497,0.2140,0.0000,0.0000,4.529,3.236,-0.165,0.000,0
66,3.337,36.146,32.400,0.1810,73.865,0.2293,0.0000,0.0000,4.374,3.236,-0.125,0.000,0
68,3.401,35.925,32.400,0.1726,83.510,0.2622,0.0000,0.0000,3.780,3.236,-0.084,0.000,0
69,3.469,36.573,32.400,0.1391,88.552,0.2966,0.0000,0.0000,3.311,3.676,-0.045,0.000,0
70,3.534,37.215,32.400,0.0967,71.342,0.3133,0.0000,0.0000,2.689,3.676,-0.015,0.000,0
72,3.613,38.155,32.400,0.0477,49.337,0.3406,0.0000,0.0000,1.717,3.676,0.009,0.000,0
74,3.702,38.895,32.400,-0.0034,23.037,0.3694,0.0000,0.0000,0.784,3.676,0.032,0.000,0
75,3.772,39.603,32.400,-0.0537,-3.021,0.3847,0.0000,0.0000,-0.210,3.921,0.053,0.000,0
76,3.843,40.270,32.400,-0.0880,-17.257,0.3530,0.0000,0.0000,-0.725,3.921,0.076,0.000,0
78,3.912,40.912,32.400,-0.1049,-30.582,0.1000,0.0154,0.0000,-0.984,3.921,0.100,0.000,0
79,3.982,40.283,32.400,-0.1063,-42.523,0.3335,0.0000,0.0000,-1.210,3.947,0.131,0.000,0
80,4.048,41.139,32.400,-0.0942,-52.328,0.1000,0.0222,0.0000,-1.427,3.947,0.171,0.000,0
82,4.115,41.165,32.400,-0.0708,-46.784,0.1000,0.0230,0.0000,-1.365,3.947,0.222,0.000,0
83,4.191,40.647,32.400,-0.0395,-35.021,0.1000,0.0074,0.0000,-1.085,3.947,0.283,0.000,0
85,4.259,40.708,32.400,-0.0164,-19.158,0.1000,0.0092,0.0000,-0.565,3.947,0.577,0.000,0
86,4.326,41.054,32.400,0.0077,-7.520,0.1000,0.0196,0.0000,0.024,3.947,0.635,0.000,0
87,4.389,40.761,32.400,0.0259,3.981,0.1000,0.0108,0.0000,0.119,3.947,0.693,0.000,0
89,4.454,41.030,32.400,0.0374,12.599,0.1000,0.0189,0.0000,0.341,3.947,0.750,0.000,0
90,4.516,40.452,32.400,0.0160,18.134,0.1000,0.0016,0.0000,0.607,4.132,1.251,0.000,0
91,4.579,40.828,32.400,-0.0001,8.816,0.1000,0.0129,0.0000,0.273,4.132,1.279,0.000,0
92,4.643,40.908,32.400,-0.0130,0.396,0.1000,0.0152,0.0000,-0.098,4.132,1.307,0.000,0
94,4.705,40.418,32.400,-0.0219,-6.592,0.1000,0.0005,0.0000,-0.299,4.132,1.336,0.000,0
95,4.771,40.497,32.400,-0.0607,-11.003,0.1000,0.0029,0.0000,-0.393,4.626,1.841,0.000,0
96,4.840,40.745,32.400,-0.0777,-21.080,0.1000,0.0103,0.0000,-0.524,4.626,1.853,0.000,0
98,4.911,40.432,32.400,-0.0816,-32.409,0.1000,0.0010,0.0000,-0.864,4.626,1.871,0.000,0
