tick,time_s,speed_kph,target_speed_kph,steering,steering_wheel_deg,throttle,brake,parking,slip_deg,target_slip_deg,lateral_error_m,damage,laps
1,0.091,0.491,32.400,0.0632,0.000,0.9000,0.0000,0.0000,0.000,-2.250,-0.086,0.000,0
3,0.168,0.339,32.400,0.0944,13.426,0.9000,0.0000,0.0000,0.000,-2.250,-0.086,0.000,0
4,0.237,1.043,32.400,0.1113,27.649,0.9000,0.0000,0.0000,0.000,-2.250,-0.087,0.000,0
6,0.315,9.689,32.400,0.1201,40.367,0.8645,0.0000,0.0000,0.000,-2.250,-0.089,0.000,0
7,0.384,10.060,32.400,0.1246,51.861,0.8586,0.0000,0.0000,0.000,-2.250,-0.090,0.000,0
9,0.480,12.735,32.400,0.1265,56.054,0.8157,0.0000,0.0000,0.000,-2.250,-0.091,0.000,0
11,0.572,13.916,32.400,0.1372,56.917,0.5954,0.0000,0.0000,3.776,-2.250,-0.092,0.000,0
13,0.659,15.287,32.400,0.1391,61.741,0.6031,0.0000,0.0000,3.221,-2.250,-0.097,0.000,0
14,0.731,16.597,32.400,0.1355,62.600,0.6174,0.0000,0.0000,2.561,-2.250,-0.101,0.000,0
15,0.797,18.000,32.400,0.1376,60.977,0.4915,0.0000,0.0000,4.768,-2.250,-0.107,0.000,0
17,0.876,20.323,32.400,0.1333,61.920,0.4763,0.0000,0.0000,4.088,-2.250,-0.113,0.000,0
18,0.947,22.079,32.400,0.1259,59.966,0.4775,0.0000,0.0000,3.538,-2.250,-0.120,0.000,0
20,1.021,23.247,32.400,0.1189,56.657,0.4486,0.0000,0.0000,3.731,-2.250,-0.127,0.000,0
22,1.115,24.807,32.400,0.1084,53.489,0.4703,0.0000,0.0000,2.856,-2.250,-0.136,0.000,0
23,1.193,26.489,32.400,0.1007,48.797,0.4330,0.0000,0.0000,3.051,-2.250,-0.172,0.000,0
25,1.271,27.431,32.400,0.0886,45.308,0.4775,0.0000,0.0000,1.932,-2.250,-0.185,0.000,0
26,1.343,28.793,32.400,0.0774,39.857,0.4553,0.0000,0.0000,1.942,-2.250,-0.195,0.000,0
28,1.419,30.244,32.400,0.0674,34.840,0.4263,0.0000,0.0000,2.049,-2.250,-0.206,0.000,0
30,1.501,31.180,32.400,0.0568,30.313,0.4202,0.0000,0.0000,1.883,-2.250,-0.217,0.000,0
31,1.577,31.834,32.400,0.0440,25.550,0.4588,0.0000,0.0000,0.964,-2.250,-0.230,0.000,0
33,1.653,33.020,32.400,0.0336,19.819,0.4314,0.0000,0.0000,1.121,-2.250,-0.243,0.000,0
34,1.742,33.808,32.400,0.0221,15.103,0.4543,0.0000,0.0000,0.455,-2.250,-0.256,0.000,0
36,1.819,35.125,32.400,0.0122,9.930,0.4347,0.0000,0.0000,0.428,-2.250,-0.271,0.000,0
37,1.888,35.768,32.400,0.0029,5.499,0.4425,0.0000,0.0000,0.089,-2.250,-0.285,0.000,0
39,1.956,36.846,32.400,-0.0101,1.284,0.4190,0.0000,0.0000,-0.190,-2.057,-0.333,0.000,0
40,2.041,37.612,32.400,-0.0189,-4.537,0.4011,0.0000,0.0000,-0.296,-2.057,-0.346,0.000,0
42,2.117,37.671,32.400,-0.0259,-8.496,0.3797,0.0000,0.0000,-0.678,-2.057,-0.359,0.000,0
43,2.185,38.211,32.400,-0.0300,-11.656,0.3688,0.0000,0.0000,-0.721,-2.057,-0.373,0.000,0
45,2.259,38.811,32.400,-0.0319,-13.508,0.3532,0.0000,0.0000,-0.834,-2.057,-0.386,0.000,0
46,2.328,38.770,32.400,-0.0314,-14.346,0.3555,0.0000,0.0000,-0.802,-2.057,-0.399,0.000,0
48,2.403,37.986,32.400,-0.0292,-14.115,0.3661,0.0000,0.0000,-0.840,-2.057,-0.411,0.000,0
49,2.487,39.418,32.400,-0.1185,-13.246,0.3588,0.0000,0.0000,-0.572,2.355,-0.498,0.000,0
51,2.561,39.584,32.400,-0.1611,-27.682,0.3371,0.0000,0.0000,-0.929,2.355,-0.511,0.000,0
52,2.634,39.406,32.400,-0.1790,-44.182,0.3049,0.0000,0.0000,-1.587,2.355,-0.519,0.000,0
54,2.715,39.031,32.400,-0.1790,-60.006,0.2896,0.0000,0.0000,-1.986,2.355,-0.519,0.000,0
55,2.792,38.964,32.400,-0.1628,-74.155,0.2887,0.0000,0.0000,-2.022,2.355,-0.509,0.000,0
57,2.860,39.224,32.400,-0.1426,-74.697,0.2879,0.0000,0.0000,-1.996,2.796,-0.567,0.000,0
58,2.926,39.010,32.400,-0.1039,-64.959,0.3288,0.0000,0.0000,-1.294,2.796,-0.539,0.000,0
59,3.000,38.526,32.400,-0.0513,-45.570,0.4007,0.0000,0.0000,0.091,2.796,-0.505,0.000,0
61,3.072,39.094,32.400,0.0067,-20.875,0.3315,0.0000,0.0000,1.217,2.796,-0.468,0.000,0
62,3.141,39.285,32.400,0.0657,7.359,0.2525,0.0000,0.0000,2.642,2.796,-0.429,0.000,0
64,3.209,38.634,32.400,0.1091,25.574,0.2005,0.0000,0.0000,4.152,3.236,-0.470,0.000,0
65,3.278,37.664,32.400,0.1452,42.621,0.2096,0.0000,0.0000,4.281,3.236,-0.431,0.000,0
66,3.347,37.080,32.400,0.1721,58.347,0.1906,0.0000,0.0000,4.860,3.236,-0.390,0.000,0
68,3.422,36.289,32.400,0.1840,72.321,0.2186,0.0000,0.0000,4.544,3.236,-0.346,0.000,0
69,3.498,36.175,32.400,0.1658,83.024,0.2806,0.0000,0.0000,3.825,3.676,-0.375,0.000,0
71,3.577,36.737,32.400,0.1337,85.359,0.2958,0.0000,0.0000,3.267,3.676,-0.328,0.000,0
73,3.659,37.721,32.400,0.0889,68.321,0.3114,0.0000,0.0000,2.549,3.676,-0.290,0.000,0
75,3.761,38.726,32.400,0.0350,44.159,0.3332,0.0000,0.0000,1.677,3.676,-0.258,0.000,0
76,3.848,39.623,32.400,-0.0263,15.823,0.3736,0.0000,0.0000,0.475,3.921,-0.273,0.000,0
78,3.924,40.001,32.400,-0.0737,-8.887,0.3679,0.0000,0.0000,-0.465,3.921,-0.248,0.000,0
79,3.993,40.657,32.400,-0.1013,-24.579,0.1000,0.0077,0.0000,-0.754,3.921,-0.221,0.000,0
81,4.060,40.180,32.400,-0.1113,-37.615,0.3408,0.0000,0.0000,-1.069,3.947,-0.196,0.000,0
82,4.135,41.209,32.400,-0.1055,-49.424,0.1000,0.0243,0.0000,-1.288,3.947,-0.158,0.000,0
84,4.214,40.723,32.400,-0.0859,-51.972,0.1000,0.0097,0.0000,-1.379,3.947,-0.107,0.000,0
85,4.279,40.988,32.400,-0.0562,-42.635,0.1000,0.0176,0.0000,-1.166,3.947,-0.045,0.000,0
86,4.346,40.628,32.400,-0.0323,-27.734,0.1000,0.0068,0.0000,-0.768,3.947,0.251,0.000,0
88,4.411,40.316,32.400,-0.0059,-15.639,0.3678,0.0000,0.0000,-0.351,3.947,0.313,0.000,0
89,4.482,42.607,32.400,0.0170,-2.923,0.1000,0.0662,0.0000,0.001,3.947,0.377,0.000,0
91,4.554,41.431,32.400,0.0341,8.626,0.1000,0.0309,0.0000,0.149,3.947,0.444,0.000,0
92,4.636,41.273,32.400,0.0169,17.100,0.1000,0.0262,0.0000,0.458,4.132,0.920,0.000,0
94,4.715,40.687,32.400,0.0046,9.363,0.1000,0.0086,0.0000,0.391,4.132,0.961,0.000,0
95,4.783,40.840,32.400,-0.0061,2.306,0.1000,0.0132,0.0000,0.161,4.132,1.002,0.000,0
96,4.848,40.830,32.400,-0.0500,-3.290,0.1000,0.0129,0.0000,-0.048,4.626,1.432,0.000,0
98,4.929,40.752,32.400,-0.0725,-14.344,0.1000,0.0106,0.0000,-0.273,4.626,1.448,0.000,0
99,4.998,40.725,32.400,-0.0815,-27.148,0.1000,0.0097,0.0000,-0.656,4.626,1.469,0.000,0
101,5.061,40.765,32.400,-0.0797,-39.415,0.1000,0.0110,0.0000,-1.037,4.626,1.498,0.000,0
102,5.122,41.086,32.400,-0.1080,-39.792,0.1000,0.0206,0.0000,-1.306,5.249,1.892,0.000,0
103,5.187,40.655,32.400,-0.1083,-48.740,0.1000,0.0076,0.0000,-1.179,5.249,1.915,0.000,0
105,5.252,40.992,32.400,-0.0946,-52.818,0.1000,0.0177,0.0000,-1.629,5.249,1.949,0.000,0
106,5.317,40.979,32.400,-0.1100,-47.283,0.1000,0.0174,0.0000,-1.369,5.874,2.365,0.000,0
107,5.382,40.655,32.400,-0.1015,-53.740,0.1000,0.0077,0.0000,-1.457,5.874,2.398,0.000,0
108,5.447,40.575,32.400,-0.0811,-50.286,0.1000,0.0052,0.0000,-1.573,5.874,2.441,0.000,0
110,5.519,40.647,32.400,-0.0535,-41.201,0.1000,0.0074,0.0000,-1.384,5.874,2.494,0.000,0
111,5.598,40.620,32.400,-0.0514,-27.477,0.1000,0.0066,0.0000,-0.902,6.496,2.695,0.000,0
113,5.673,40.343,32.400,-0.0367,-24.781,0.3744,0.0000,0.0000,-0.752,6.496,2.751,0.000,0
114,5.748,42.036,32.400,-0.0196,-18.085,0.1000,0.0491,0.0000,-0.605,6.496,2.813,0.000,0
116,5.817,40.900,32.400,-0.0012,-9.608,0.1000,0.0150,0.0000,-0.449,6.496,2.880,0.000,0
117,5.878,41.040,32.400,0.0027,-0.704,0.1000,0.0192,0.0000,-0.049,6.926,2.893,0.000,0
118,5.945,40.902,32.400,0.0081,1.774,0.1000,0.0151,0.0000,0.086,6.926,2.952,0.000,0
120,6.011,41.003,32.400,0.0120,4.149,0.1000,0.0181,0.0000,0.204,6.926,3.008,0.000,0
121,6.085,40.657,32.400,0.0134,5.741,0.1000,0.0077,0.0000,0.091,6.926,3.065,0.000,0
123,6.153,41.010,32.400,0.0146,6.329,0.1000,0.0183,0.0000,0.223,6.877,3.131,0.000,0
124,6.221,40.849,32.400,0.0138,6.896,0.1000,0.0135,0.0000,0.168,6.877,3.187,0.000,0
125,6.284,40.666,32.400,0.0123,6.778,0.1000,0.0080,0.0000,0.183,6.877,3.240,0.000,0
127,6.356,40.754,32.400,0.0105,6.083,0.1000,0.0106,0.0000,0.230,6.877,3.291,0.000,0
128,6.423,40.707,32.400,0.0061,5.216,0.1000,0.0092,0.0000,0.173,6.512,3.641,0.000,0
129,6.496,40.742,32.400,0.0027,3.068,0.1000,0.0103,0.0000,0.121,6.512,3.680,0.000,0
131,6.568,40.601,32.400,-0.0001,1.328,0.1000,0.0060,0.0000,-0.026,6.512,3.720,0.000,0
132,6.640,40.692,32.400,-0.0229,-0.156,0.1000,0.0088,0.0000,0.005,6.129,4.435,0.000,0
134,6.701,40.775,32.400,-0.0346,-9.587,0.1000,0.0112,0.0000,-0.067,6.129,4.447,0.000,0
135,6.764,40.566,32.400,-0.0400,-16.579,0.1000,0.0050,0.0000,-0.548,6.129,4.461,0.000,0
136,6.832,40.636,32.400,-0.0389,-20.017,0.1000,0.0071,0.0000,-0.680,6.129,4.480,0.000,0
138,6.902,40.752,32.400,-0.0622,-19.592,0.1000,0.0106,0.0000,-0.596,5.766,5.295,0.000,0
139,6.967,40.483,32.400,-0.0673,-28.068,0.1000,0.0025,0.0000,-0.721,5.766,5.289,0.000,0
140,7.034,40.659,32.400,-0.0629,-32.833,0.1000,0.0078,0.0000,-1.027,5.766,5.289,0.000,0
141,7.099,40.549,32.400,-0.0816,-31.697,0.1000,0.0045,0.0000,-1.060,5.417,6.102,0.000,0
143,7.163,40.584,32.400,-0.0810,-39.850,0.1000,0.0055,0.0000,-1.091,5.417,6.082,0.000,0
144,7.227,40.649,32.400,-0.0706,-40.177,0.1000,0.0075,0.0000,-1.401,5.417,6.072,0.000,0
145,7.294,40.448,32.400,-0.0526,-35.752,0.1000,0.0014,0.0000,-1.090,5.417,6.069,0.000,0
147,7.354,40.639,32.400,-0.0664,-26.975,0.1000,0.0072,0.0000,-0.844,5.240,6.821,0.000,0
148,7.419,40.112,32.400,-0.0638,-32.231,0.3648,0.0000,0.0000,-0.858,5.240,6.796,0.000,0
149,7.486,41.806,32.400,-0.0562,-31.613,0.1000,0.0422,0.0000,-1.051,5.240,6.776,0.000,0
151,7.559,40.921,32.400,-0.0418,-28.429,0.1000,0.0156,0.0000,-0.894,5.240,6.762,0.000,0
152,7.633,41.094,32.400,-0.0529,-21.149,0.1000,0.0208,0.0000,-0.706,5.257,7.213,0.000,0
