tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,imitation_speed_target_kph,imitation_blend,control_phase,throttle_cap,damage
28,custom,14.129,-0.245815,-22.433,0.054185,0.000000,0.380000,-1.000000,1.000,-168.763,14.551,8.000,180.000,0.000000,41.540,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_trail_brake,0.506794,0.000
29,custom,2.143,-0.545815,101.617,-0.245815,0.366736,0.000000,-1.000000,1.000,-169.258,12.387,8.000,180.000,0.000000,35.000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_power,0.366736,0.000
30,custom,20.197,-0.841035,215.518,-0.542376,0.000000,0.380000,-1.000000,1.000,-171.875,15.647,8.000,180.000,0.000000,47.355,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_trail_brake,0.216485,0.000
31,custom,3.350,-0.944362,338.095,-0.838363,0.088999,0.000000,-0.558839,1.000,-177.376,12.605,8.000,180.000,0.000000,35.000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_power,0.161817,0.000
32,custom,8.919,-0.644362,390.966,-0.944362,0.000000,0.000000,-0.197689,1.000,176.690,13.610,8.000,180.000,0.000000,36.548,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.317677,0.000
33,custom,8.413,-0.344362,266.766,-0.644362,0.000000,0.000000,0.262330,1.000,169.329,13.519,8.000,180.000,0.000000,36.062,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.462655,0.000
34,custom,8.619,-0.044362,142.566,-0.344362,0.000000,0.000000,0.538493,1.000,165.005,13.556,8.000,180.000,0.000000,36.260,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.586989,0.000
35,custom,8.395,0.255638,18.366,-0.044362,0.000000,0.000000,0.629723,1.000,163.602,13.516,8.000,180.000,0.000000,36.045,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.502498,0.000
36,custom,8.112,0.555638,-105.724,0.255638,0.000000,0.000000,0.564803,1.000,164.566,13.465,8.000,180.000,0.000000,35.774,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.361902,0.000
37,custom,7.892,0.844473,-219.727,0.552199,0.000000,0.000000,0.328036,1.000,167.995,13.425,8.000,180.000,0.000000,35.563,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.214682,0.000
38,custom,7.294,0.945566,-340.338,0.843150,0.000000,0.000000,-0.100687,1.000,174.043,13.317,8.000,180.000,0.000000,35.000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.161175,0.000
39,custom,7.203,0.645566,-391.464,0.945566,0.000000,0.000000,-0.664948,1.000,-178.108,13.301,8.000,180.000,0.000000,35.000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.317071,0.000
40,custom,7.078,0.345566,-267.264,0.645566,0.000000,0.000000,-1.000000,1.000,-172.109,13.278,8.000,180.000,0.000000,35.000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.462103,0.000
