tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,damage
39,sensor,73.971,0.000000,0.133,0.000800,0.000000,1.000000,-0.069844,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.161719,-0.194531,-0.356250,-1.000000,0.777344,6,18.000,18.000,20.444,240.000,14.000,0.104633,0.620320,0.000
40,sensor,73.974,0.000000,-0.631,0.000688,0.000000,1.000000,-0.100117,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.149219,-0.234375,-0.383594,-0.861622,0.730990,6,18.000,18.000,20.444,240.000,14.000,0.107286,0.239015,0.000
41,sensor,74.274,0.000000,0.288,-0.000871,0.000000,1.000000,-0.126367,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.145313,-0.272656,-0.417969,-1.000000,0.719531,6,18.000,18.000,23.259,240.000,16.000,0.085602,0.247180,0.000
42,sensor,73.773,0.000000,0.607,0.000289,0.000000,1.000000,-0.099375,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.168750,-0.243750,-0.412500,-0.853813,0.719010,6,18.000,18.000,19.037,240.000,13.000,0.120091,0.208926,0.000
43,sensor,73.779,0.000000,-0.325,-0.000388,0.000000,1.000000,-0.115352,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.149219,-0.257812,-0.407031,-0.908764,0.720573,6,18.000,18.000,20.444,240.000,14.000,0.102676,0.001674,0.000
44,sensor,73.687,0.000000,-0.666,0.001769,0.000000,1.000000,-0.115430,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.156250,-0.261719,-0.417969,-0.941694,0.717708,6,18.000,18.000,20.444,240.000,14.000,0.103117,0.073546,0.000
45,sensor,74.059,0.000000,0.108,0.000428,0.000000,1.000000,-0.115117,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.158594,-0.262500,-0.421094,-0.979056,0.717187,6,18.000,18.000,20.444,240.000,14.000,0.100217,0.427134,0.000
46,sensor,73.901,0.000000,0.993,-0.001750,0.000000,1.000000,-0.120391,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.160938,-0.271875,-0.432812,-1.000000,0.714323,6,18.000,18.000,21.852,240.000,15.000,0.098068,0.573259,0.000
47,sensor,73.714,0.000000,-1.146,0.002330,0.000000,1.000000,-0.097461,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.153906,-0.232812,-0.386719,-0.776995,0.728646,6,18.000,18.000,19.037,240.000,13.000,0.113217,0.049624,0.000
48,sensor,73.902,0.000000,0.115,-0.000087,0.000000,1.000000,-0.068945,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.157031,-0.190625,-0.347656,-1.000000,0.780208,6,18.000,18.000,20.444,240.000,14.000,0.101770,0.077058,0.000
