tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,damage
1,sensor,0.020,-0.240000,0.000,0.000000,0.600000,0.000000,-0.215664,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.613281,-0.001563,0.214102,-0.058789,0.796094,6,32.000,37.361,240.000,240.000,103.000,0.000000,0.244334,0.017
2,sensor,15.310,-0.325211,98.209,-0.240000,0.000000,0.317503,-0.217852,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.619531,-0.001563,0.216289,-0.056055,0.794010,6,12.135,37.394,240.000,12.135,107.000,0.000000,8.266685,0.017
3,sensor,2.382,-0.354089,134.637,-0.325211,0.600000,0.000000,-0.214570,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.610156,-0.001563,0.213008,-0.061523,0.797135,6,32.000,37.311,240.000,39.163,102.000,0.000000,5.766927,0.017
4,sensor,17.304,-0.361939,146.593,-0.354089,0.000000,0.530386,-0.215391,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.612500,-0.001563,0.213828,-0.054688,0.796354,6,12.000,37.466,240.000,12.000,112.000,0.000000,8.647193,0.017
5,sensor,0.906,-0.337988,149.843,-0.361939,0.600000,0.000000,-0.200625,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.570312,-0.001563,0.199062,-0.030078,0.810417,6,12.000,38.244,240.000,12.000,109.000,0.000000,9.704088,0.017
6,sensor,15.921,-0.353975,139.927,-0.337988,0.000000,0.392081,-0.210195,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.597656,-0.001563,0.208633,-0.061523,0.801302,6,12.000,37.382,240.000,12.000,113.000,0.000000,9.385743,0.017
7,sensor,4.025,-0.389230,146.546,-0.353975,0.600000,0.000000,-0.216484,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.615625,-0.001563,0.214922,-0.112109,0.795312,6,23.649,35.905,240.000,23.649,111.000,0.000000,7.018152,0.017
8,sensor,18.863,-0.398596,161.141,-0.389230,0.000000,0.686275,-0.204727,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.582031,-0.001563,0.203164,-0.132617,0.806510,6,12.000,35.526,240.000,12.000,113.000,0.000000,9.082150,0.017
9,sensor,0.008,-0.354315,165.019,-0.398596,0.600000,0.000000,-0.189687,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.539062,-0.001563,0.188125,-0.062891,0.820833,6,12.000,37.672,240.000,12.000,109.000,0.000000,11.300796,0.017
10,sensor,18.588,-0.330060,146.686,-0.354315,0.000000,0.658781,-0.196797,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.559375,-0.001563,0.195234,-0.027344,0.814063,6,12.000,38.352,240.000,12.000,112.000,0.000000,10.023148,0.017
11,sensor,0.157,-0.356648,136.645,-0.330060,0.600000,0.000000,-0.191602,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.544531,-0.001563,0.190039,-0.116211,0.819010,6,12.000,36.252,240.000,12.000,110.000,0.000000,11.012457,0.017
12,sensor,15.103,-0.356859,147.652,-0.356648,0.000000,0.310312,-0.198984,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.565625,-0.001563,0.197422,-0.079297,0.811979,6,12.000,37.118,240.000,12.000,156.000,0.000000,8.888959,0.017
13,sensor,4.236,-0.456925,147.740,-0.356859,0.600000,0.000000,-0.104648,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.296094,-0.001563,0.103086,-0.515430,0.901823,6,24.889,24.889,240.000,240.000,113.000,0.000000,4.828911,0.017
14,sensor,27.598,-0.376379,189.167,-0.456925,0.000000,1.000000,-0.185312,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.526563,-0.001563,0.183750,-0.076563,0.825000,6,12.000,37.411,240.000,12.000,210.000,0.000000,8.670243,0.017
15,sensor,0.416,-0.136379,155.821,-0.376379,0.600000,0.000000,-0.125703,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.356250,-0.001563,0.124141,0.319922,0.764062,6,12.000,31.065,240.000,12.000,198.000,0.000000,11.641056,0.017
16,sensor,18.164,0.011531,56.461,-0.136379,0.000000,0.616445,-0.102344,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.325781,0.017969,0.120313,0.380078,0.757292,6,12.000,29.272,240.000,12.000,255.000,0.000000,9.652272,0.017
17,sensor,1.234,-0.228469,-4.774,0.011531,0.600000,0.000000,-0.207461,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.589844,-0.001563,0.205898,-0.113477,0.803906,6,12.000,36.036,240.000,12.000,206.000,0.000000,10.211692,0.017
18,sensor,17.745,-0.306718,94.586,-0.228469,0.000000,0.574504,-0.191758,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.581250,0.017969,0.209727,-0.099805,0.671615,6,12.000,36.518,240.000,12.000,255.000,0.000000,9.554008,0.017
19,sensor,0.768,-0.362673,126.981,-0.306718,0.600000,0.000000,-0.203359,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.578125,-0.001563,0.201797,-0.120312,0.807813,6,12.000,35.915,240.000,12.000,239.000,0.000000,10.080322,0.017
20,sensor,17.515,-0.225059,150.147,-0.362673,0.000000,0.551491,-0.143672,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.567187,0.084375,0.228047,0.019141,0.782813,6,12.000,38.606,240.000,12.000,255.000,0.000000,9.806941,0.017
21,sensor,0.984,-0.175333,93.174,-0.225059,0.600000,0.000000,-0.110117,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.545312,0.124219,0.234336,-0.086133,0.776823,6,12.000,37.305,240.000,12.000,255.000,0.000000,10.081418,0.017
22,sensor,16.769,0.124667,72.588,-0.175333,0.000000,0.476900,0.329297,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.303906,0.342969,0.013672,0.924219,0.769792,6,12.000,18.000,240.000,12.000,255.000,0.000000,9.726029,0.017
23,sensor,2.628,0.069811,-51.611,0.124666,0.600000,0.000000,-0.039531,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.535156,0.227344,0.266875,-0.002734,0.741667,6,12.000,39.190,240.000,12.000,255.000,0.000000,8.347236,0.017
24,sensor,17.599,0.369811,-28.902,0.069810,0.000000,0.559886,0.574063,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.578125,0.571875,-0.002188,0.065625,0.494271,6,12.000,36.239,240.000,12.000,255.000,0.000000,9.366996,0.017
25,sensor,1.042,0.069811,-142.937,0.366697,0.600000,0.000000,-0.271836,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.483594,-0.157812,0.114023,0.039648,0.404948,6,12.000,38.209,240.000,12.000,255.000,0.000000,8.555455,0.017
26,sensor,19.212,0.262847,-28.902,0.069811,0.600000,0.000000,-0.026797,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.482812,0.218750,0.245547,0.440234,0.321615,6,26.512,26.512,240.000,240.000,255.000,0.000000,1.840167,0.048
27,sensor,17.779,0.000000,-108.819,0.262847,0.000000,1.000000,0.254453,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.232031,0.516406,0.261953,-0.596094,0.523177,6,19.571,19.571,240.000,240.000,255.000,0.000000,3.674730,500.964
