tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,damage
21,imitate,20.952,0.000000,0.000,0.000000,0.600000,0.000000,-0.001016,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,-0.001563,-0.000547,0.002734,0.861979,6,40.000,49.999,240.000,45.061,112.000,0.000000,6.104469,0.000000,2.282
22,imitate,20.928,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,23.484,50.000,240.000,23.484,113.000,0.000000,7.440059,0.000000,2.282
23,imitate,22.494,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,14.922,50.000,240.000,14.922,113.000,0.000000,8.299263,0.000000,2.282
24,imitate,23.470,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,28.955,50.000,240.000,28.955,113.000,0.000000,7.056479,0.000000,2.282
25,imitate,23.951,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.863021,6,13.157,50.000,240.000,13.157,112.000,0.000000,8.555158,0.000000,2.282
26,imitate,24.420,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.863021,6,40.000,50.000,240.000,40.750,112.000,0.000000,6.369856,0.000000,2.282
27,imitate,25.515,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.863021,6,40.000,50.000,240.000,48.796,112.000,0.000000,5.786810,0.000000,2.282
28,imitate,26.148,-0.010616,0.000,0.000000,0.600000,0.000000,-0.072656,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.204688,-0.001563,0.071094,-0.355469,0.932292,6,38.791,38.791,240.000,49.883,112.000,0.000000,5.588429,0.000000,2.282
29,imitate,27.248,-0.014332,4.792,-0.009734,0.600000,0.000000,-0.072656,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.204688,-0.001563,0.071094,-0.355469,0.932292,6,38.791,38.791,240.000,240.000,112.000,0.000000,5.003669,0.000000,2.282
30,imitate,28.111,-0.015632,7.882,-0.014332,0.600000,0.000000,-0.072656,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.204688,-0.001563,0.071094,-0.355469,0.932292,6,38.791,38.791,240.000,240.000,112.000,0.000000,5.458366,0.000000,2.282
