tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,damage
23,ai,18.256,0.000000,-17.932,0.042239,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
24,ai,19.814,0.000000,-13.381,0.030990,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
25,ai,19.964,0.000000,1.257,-0.004370,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
26,ai,19.872,0.000000,5.902,-0.015094,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
27,ai,23.312,0.000000,10.174,-0.025485,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
28,ai,21.620,0.000000,14.534,-0.036247,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
29,ai,23.876,0.000000,18.037,-0.044652,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
30,ai,26.054,0.000000,21.949,-0.053805,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
31,ai,24.312,0.000000,26.110,-0.064131,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
32,ai,26.483,0.000000,29.829,-0.073002,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
33,ai,29.293,0.000000,33.635,-0.082134,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
34,ai,28.921,0.000000,37.528,-0.091537,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
35,ai,31.262,0.000000,42.038,-0.105371,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
36,ai,31.586,0.000000,49.072,-0.119883,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
37,ai,32.045,0.000000,54.507,-0.132551,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
38,ai,34.555,0.000000,58.978,-0.143625,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
39,ai,35.959,0.000000,62.957,-0.152982,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
40,ai,36.518,0.000000,66.154,-0.160328,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
41,ai,36.914,0.000000,68.574,-0.166176,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
42,ai,38.279,0.000000,70.315,-0.170311,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
43,ai,38.600,0.000000,71.359,-0.173146,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
