tick,time_s,speed_kph,target_speed_kph,steering,steering_wheel_deg,throttle,brake,parking,slip_deg,target_slip_deg,lateral_error_m,damage,laps
1,0.064,0.099,45.100,0.0416,0.000,0.9000,0.0000,0.0000,0.000,2.355,2.749,0.000,0
2,0.124,0.327,45.100,0.0622,-9.992,0.9000,0.0000,0.0000,0.000,2.355,2.749,0.000,0
3,0.181,0.607,45.100,0.0721,-20.328,0.9000,0.0000,0.0000,0.000,2.355,2.749,0.000,0
4,0.238,1.005,45.100,0.0762,-29.735,0.9000,0.0000,0.0000,0.000,2.355,2.749,0.000,0
6,0.311,1.303,45.100,0.0776,-34.283,0.9000,0.0000,0.0000,0.000,2.355,2.749,0.000,0
7,0.374,1.443,45.100,0.0782,-34.901,0.9000,0.0000,0.0000,0.000,2.355,2.748,0.000,0
8,0.431,1.719,45.100,0.0790,-35.178,0.9000,0.0000,0.0000,0.000,2.355,2.750,0.000,0
9,0.498,2.522,45.100,0.0797,-35.536,0.9000,0.0000,0.0000,0.000,2.355,2.751,0.000,0
11,0.557,2.727,45.100,0.0811,-35.873,0.9000,0.0000,0.0000,0.000,2.355,2.753,0.000,0
12,0.618,3.455,45.100,0.0782,-36.490,0.9000,0.0000,0.0000,-1.139,2.355,2.753,0.000,0
13,0.679,6.307,45.100,0.0706,-35.172,0.9000,0.0000,0.0000,-2.872,2.355,2.756,0.000,0
14,0.743,7.587,45.100,0.0697,-31.777,0.9000,0.0000,0.0000,-2.065,2.355,2.759,0.000,0
16,0.816,7.487,45.100,0.0762,-31.372,0.9000,0.0000,0.0000,-0.385,2.355,2.763,0.000,0
17,0.876,6.379,45.100,0.0774,-34.296,0.9000,0.0000,0.0000,-1.814,2.355,2.767,0.000,0
18,0.933,6.899,45.100,0.0787,-34.850,0.9000,0.0000,0.0000,-2.222,2.355,2.772,0.000,0
19,0.995,7.571,45.100,0.0827,-35.406,0.9000,0.0000,0.0000,-1.881,2.355,2.778,0.000,0
21,1.055,8.536,45.100,0.0869,-37.211,0.9000,0.0000,0.0000,-1.873,2.355,2.785,0.000,0
22,1.118,9.818,45.100,0.0900,-39.124,0.9000,0.0000,0.0000,-2.264,2.355,2.793,0.000,0
23,1.184,11.013,45.100,0.0940,-40.491,0.9000,0.0000,0.0000,-2.393,2.355,2.803,0.000,0
24,1.246,11.577,45.100,0.0903,-42.309,0.9000,0.0000,0.0000,-2.460,2.796,2.813,0.000,0
26,1.315,12.009,45.100,0.0940,-40.646,0.9000,0.0000,0.0000,-2.180,2.796,2.826,0.000,0
27,1.374,13.101,45.100,0.1013,-42.290,0.9000,0.0000,0.0000,-1.764,2.796,2.841,0.000,0
28,1.436,14.157,45.100,0.1092,-45.576,0.8972,0.0000,0.0000,-1.902,2.796,2.857,0.000,0
29,1.497,15.188,45.100,0.1186,-49.126,0.8864,0.0000,0.0000,-1.794,2.796,2.876,0.000,0
31,1.555,16.654,45.100,0.1274,-53.380,0.8329,0.0000,0.0000,-2.358,2.796,2.897,0.000,0
32,1.615,18.168,45.100,0.1376,-57.329,0.7921,0.0000,0.0000,-2.670,2.796,2.922,0.000,0
33,1.670,18.922,45.100,0.1509,-61.928,0.7820,0.0000,0.0000,-2.631,2.796,2.949,0.000,0
34,1.727,19.342,45.100,0.1678,-67.927,0.7922,0.0000,0.0000,-2.314,2.796,2.979,0.000,0
35,1.792,20.067,45.100,0.1860,-75.492,0.7672,0.0000,0.0000,-2.565,2.796,3.014,0.000,0
37,1.862,21.061,45.100,0.2072,-83.564,0.7413,0.0000,0.0000,-2.754,2.796,3.056,0.000,0
38,1.919,21.405,45.100,0.2227,-92.002,0.7432,0.0000,0.0000,-2.860,3.236,3.105,0.000,0
