tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,damage
62,sensor,14.135,0.011706,-13.847,0.033446,0.000000,0.213481,0.062383,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.636719,-0.246875,-0.309258,0.025977,0.665104,6,12.000,38.405,29.630,12.000,25.000,0.000000,9.867929,0.000
63,sensor,8.006,-0.288294,-4.846,0.011706,0.600000,0.000000,-0.351562,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.646094,-0.192969,0.158594,-0.112109,0.697656,6,28.593,35.264,28.593,240.000,24.000,0.000000,3.715587,0.000
64,sensor,17.057,-0.588294,119.337,-0.288294,0.000000,0.505739,-0.360937,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.645312,-0.207812,0.153125,-0.177734,0.681771,6,12.000,33.129,28.593,12.000,24.000,0.000000,8.531505,0.000
65,sensor,2.942,-0.348294,233.247,-0.585177,0.600000,0.000000,0.155234,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.633594,-0.102344,-0.257578,-0.032813,0.750781,6,12.000,38.045,26.519,12.000,22.000,0.000000,10.053436,0.000
66,sensor,17.741,-0.108294,144.194,-0.348294,0.000000,0.574113,0.128281,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.632031,-0.142969,-0.271250,-0.057422,0.740365,6,12.000,37.559,26.519,12.000,22.000,0.000000,9.224259,0.000
67,sensor,1.726,0.127651,44.834,-0.108294,0.600000,0.000000,0.193945,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.638281,-0.045312,-0.239258,-0.017773,0.772135,6,12.000,38.251,25.481,12.000,21.000,0.000000,11.566422,0.000
68,sensor,9.605,0.149385,-52.848,0.127651,0.000000,0.559789,0.153867,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.639844,-0.107813,-0.261680,-0.009570,0.750781,6,12.000,38.506,25.481,12.000,21.000,0.000000,9.087226,0.000
69,sensor,0.266,0.386178,-61.845,0.149385,0.600000,0.000000,0.253242,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.633594,0.048438,-0.204805,0.140820,0.750260,6,12.000,34.805,24.444,12.000,20.000,0.000000,10.414363,0.000
70,sensor,12.512,0.239151,-159.207,0.386178,0.000000,0.000000,0.155078,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.637500,-0.104688,-0.259766,-0.016406,0.752604,6,12.000,38.376,24.444,12.000,20.000,0.000000,9.148715,0.000
71,sensor,7.508,0.392970,-99.008,0.239151,0.600000,0.000000,0.241406,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.627344,0.033594,-0.207812,0.125781,0.706771,6,24.444,35.347,24.444,240.000,20.000,0.000000,0.211074,0.000
72,sensor,19.589,0.448234,-162.689,0.392970,0.000000,0.000000,0.245586,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.632031,0.037500,-0.208086,0.116211,0.669010,6,18.750,35.593,23.407,18.750,19.000,0.000000,7.443682,0.000
73,sensor,14.792,0.318181,-185.569,0.448234,0.600000,0.000000,0.155742,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.633594,-0.101562,-0.257305,0.105273,0.699219,6,22.370,36.209,22.370,240.000,18.000,0.000000,1.236830,0.000
74,sensor,22.376,0.018181,-131.727,0.318181,0.000000,0.875129,-0.341914,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.656250,-0.172656,0.169258,-0.058789,0.634896,6,13.625,36.772,21.333,13.625,17.000,0.000000,8.040203,0.000
75,sensor,0.368,-0.281819,-7.527,0.018181,0.600000,0.000000,-0.402930,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.649219,-0.270313,0.132617,-0.124414,0.660417,6,12.000,34.678,19.259,12.000,15.000,0.000000,10.753157,0.000
